Data da Coleta,Produto,Valor_de_Venda
2018-12-30,GASOLINA,4.293603960396039
2019-01-06,GASOLINA,4.249683168316832
2019-01-13,GASOLINA,4.183920792079208
2019-01-20,GASOLINA,4.17205
2019-01-27,GASOLINA,4.126631067961165
2019-02-03,GASOLINA,4.073893203883495
2019-02-10,GASOLINA,4.080009803921569
2019-02-17,GASOLINA,4.044330097087379
2019-02-24,GASOLINA,4.5322970297029705
2019-03-03,GASOLINA,4.556693069306931
2019-03-10,GASOLINA,4.565019801980198
2019-03-17,GASOLINA,4.578019801980198
2019-03-24,GASOLINA,4.57139603960396
2019-03-31,GASOLINA,4.5792
2019-04-07,GASOLINA,4.579676470588235
2019-04-14,GASOLINA,4.762803921568628
2019-04-21,GASOLINA,4.752610000000001
2019-04-28,GASOLINA,4.759039603960396
2019-05-05,GASOLINA,4.770666666666667
2019-05-12,GASOLINA,4.77180198019802
2019-05-19,GASOLINA,4.606613861386139
2019-05-26,GASOLINA,4.717594059405941
2019-06-02,GASOLINA,4.59913
2019-06-09,GASOLINA,4.490623762376238
2019-06-16,GASOLINA,4.476049504950495
2019-06-23,GASOLINA,4.38833
2019-06-30,GASOLINA,4.364578431372549
2019-07-07,GASOLINA,4.32509900990099
2019-07-14,GASOLINA,4.267930693069308
2019-07-21,GASOLINA,4.251495049504951
2019-07-28,GASOLINA,4.244108910891089
2019-08-04,GASOLINA,4.563313725490197
2019-08-11,GASOLINA,4.577831683168316
2019-08-18,GASOLINA,4.58334
2019-08-25,GASOLINA,4.575732673267327
2019-09-01,GASOLINA,4.57029
2019-09-08,GASOLINA,4.566069306930693
2019-09-15,GASOLINA,4.603247524752475
2019-09-22,GASOLINA,4.6578217821782175
2019-09-29,GASOLINA,4.654643564356436
2019-10-06,GASOLINA,4.64564
2019-10-13,GASOLINA,4.5980196078431375
2019-10-20,GASOLINA,4.54322
2019-10-27,GASOLINA,4.436643564356436
2019-11-03,GASOLINA,4.387558823529412
2019-11-10,GASOLINA,4.343227722772277
2019-11-17,GASOLINA,4.39347
2019-11-24,GASOLINA,4.372069306930693
2019-12-01,GASOLINA,4.524892156862745
2019-12-08,GASOLINA,4.672941176470588
2019-12-15,GASOLINA,4.685316831683168
2019-12-22,GASOLINA,4.6803564356435645
2019-12-29,GASOLINA,4.68021568627451
2020-01-05,GASOLINA,4.678009803921569
2020-01-12,GASOLINA,4.682128712871287
2020-01-19,GASOLINA,4.676303921568628
2020-01-26,GASOLINA,4.676702970297029
2020-02-02,GASOLINA,4.670227722772277
2020-02-09,GASOLINA,4.675696078431373
2020-02-16,GASOLINA,4.6575
2020-02-23,GASOLINA,4.62359405940594
2020-03-01,GASOLINA,4.590267326732674
2020-03-08,GASOLINA,4.582205882352941
2020-03-15,GASOLINA,4.53443137254902
2020-03-22,GASOLINA,4.49913
2020-03-29,GASOLINA,4.416166666666666
2020-04-05,GASOLINA,4.378257425742574
2020-04-12,GASOLINA,4.35785
2020-04-19,GASOLINA,4.192901960784313
2020-04-26,GASOLINA,3.944554455445545
2020-05-03,GASOLINA,3.87371568627451
2020-05-10,GASOLINA,3.822833333333333
2020-05-17,GASOLINA,3.80411
2020-05-24,GASOLINA,3.864188118811881
2020-05-31,GASOLINA,3.921920792079208
2020-06-07,GASOLINA,3.914861386138614
2020-06-14,GASOLINA,3.988039603960397
2020-06-21,GASOLINA,4.032930693069307
2020-06-28,GASOLINA,4.060366336633663
2020-07-05,GASOLINA,4.076306930693069
2020-07-12,GASOLINA,4.112892156862745
2020-07-19,GASOLINA,4.210660000000001
2020-07-26,GASOLINA,4.19662
2020-08-02,GASOLINA,4.22513
2020-08-09,GASOLINA,4.298891089108911
2020-08-16,GASOLINA,4.473039215686274
2020-08-23,,4.4834346292927245
2020-08-30,,4.493830042899176
2020-09-06,,4.504225456505626
2020-09-13,,4.5146208701120765
2020-09-20,,4.525016283718528
2020-09-27,,4.535411697324978
2020-10-04,,4.545807110931428
2020-10-11,,4.55620252453788
2020-10-18,GASOLINA,4.56659793814433
2020-10-25,GASOLINA,4.494950495049505
2020-11-01,GASOLINA,4.4959
2020-11-08,GASOLINA,4.469649350649351
2020-11-15,GASOLINA,4.518893617021277
2020-11-22,GASOLINA,4.5220416666666665
2020-11-29,GASOLINA,4.525838383838384
2020-12-06,GASOLINA,4.744683168316831
2020-12-13,GASOLINA,4.762811881188119
2020-12-20,GASOLINA,4.77639
2020-12-27,GASOLINA,4.758930693069307
2021-01-03,GASOLINA,4.764039603960396
2021-01-10,GASOLINA,4.74959595959596
2021-01-17,GASOLINA,4.7345625
2021-01-24,GASOLINA,4.727555555555556
2021-01-31,GASOLINA,4.970064935064935
2021-02-07,GASOLINA,4.9556
2021-02-14,GASOLINA,5.136811881188119
2021-02-21,GASOLINA,5.223079207920792
2021-02-28,GASOLINA,5.228693877551021
2021-03-07,GASOLINA,5.478089108910892
2021-03-14,GASOLINA,5.503148514851485
2021-03-21,GASOLINA,5.486673267326733
2021-03-28,GASOLINA,5.4759797979797975
2021-04-04,GASOLINA,5.488594059405941
2021-04-11,GASOLINA,5.493485148514852
2021-04-18,GASOLINA,5.46529702970297
2021-04-25,GASOLINA,5.483584158415842
2021-05-02,GASOLINA,5.514158415841584
2021-05-09,GASOLINA,5.72908
2021-05-16,GASOLINA,5.717257425742574
2021-05-23,GASOLINA,5.709089108910892
2021-05-30,GASOLINA,5.74424
2021-06-06,GASOLINA,5.737544554455445
2021-06-13,GASOLINA,5.745257425742574
2021-06-20,GASOLINA,5.711831683168317
2021-06-27,GASOLINA,5.697049504950496
2021-07-04,GASOLINA,5.700019999999999
2021-07-11,GASOLINA,5.759940594059406
2021-07-18,GASOLINA,5.817732673267327
2021-07-25,GASOLINA,5.8479898989899
2021-08-01,GASOLINA,5.878772277227722
2021-08-08,GASOLINA,5.847306930693069
2021-08-15,GASOLINA,5.868189999999999
2021-08-22,GASOLINA,5.92393
2021-08-29,GASOLINA,5.9387029702970295
2021-09-05,GASOLINA,5.930178217821782
2021-09-12,GASOLINA,5.91220792079208
2021-09-19,GASOLINA,5.914217821782178
2021-09-26,GASOLINA,5.935801980198019
2021-10-03,GASOLINA,5.897138613861386
2021-10-10,GASOLINA,6.507158415841584
2021-10-17,GASOLINA,6.620930693069307
2021-10-24,GASOLINA,6.809930693069307
2021-10-31,GASOLINA,6.91643
2021-11-07,GASOLINA,6.964960396039604
2021-11-14,GASOLINA,6.970069306930693
2021-11-21,GASOLINA,6.957554455445544
2021-11-28,GASOLINA,6.962138613861387
2021-12-05,GASOLINA,6.963247524752475
2021-12-12,GASOLINA,6.931960396039605
2021-12-19,GASOLINA,6.850326732673268
2021-12-26,GASOLINA,6.748623762376238
2022-01-02,GASOLINA,6.635445544554455
2022-01-09,GASOLINA,6.568415841584158
2022-01-16,GASOLINA,6.582999999999999
2022-01-23,GASOLINA,6.5793
2022-01-30,GASOLINA,6.511782178217822
2022-02-06,GASOLINA,6.5498
2022-02-13,GASOLINA,6.5122
2022-02-20,GASOLINA,6.50039603960396
2022-02-27,GASOLINA,6.4659
2022-03-06,GASOLINA,6.645544554455446
2022-03-13,GASOLINA,7.606666666666667
2022-03-20,GASOLINA,7.4818
2022-03-27,GASOLINA,7.439299999999999
2022-04-03,GASOLINA,7.453267326732673
2022-04-10,GASOLINA,7.414099999999999
2022-04-17,GASOLINA,7.411782178217822
2022-04-24,GASOLINA,7.355544554455445
2022-05-01,GASOLINA,7.62950495049505
2022-05-08,GASOLINA,7.6412
2022-05-15,GASOLINA,7.544455445544554
2022-05-22,GASOLINA,7.416176470588236
2022-05-29,GASOLINA,7.247549019607843
2022-06-05,GASOLINA,7.301666666666667
2022-06-12,GASOLINA,7.343725490196079
2022-06-19,GASOLINA,7.8398039215686275
2022-06-26,GASOLINA,7.581470588235294
2022-07-03,GASOLINA,6.7017821782178215
2022-07-10,GASOLINA,6.523366336633663
2022-07-17,GASOLINA,6.028910891089109
2022-07-24,GASOLINA,5.936633663366337
2022-07-31,GASOLINA,5.7927
2022-08-07,GASOLINA,5.570990099009901
2022-08-14,GASOLINA,5.40990291262136
2022-08-21,GASOLINA,5.243564356435644
2022-08-28,GASOLINA,5.124554455445545
2022-09-04,GASOLINA,4.992079207920792
2022-09-11,GASOLINA,4.895050505050505
2022-09-18,,4.813046085858586
2022-09-25,GASOLINA,4.731041666666667
2022-10-02,GASOLINA,4.708260869565217
2022-10-09,GASOLINA,4.970851063829787
2022-10-16,GASOLINA,4.956382978723404
2022-10-23,GASOLINA,4.940217391304348
2022-10-30,GASOLINA,4.942608695652174
2022-11-06,GASOLINA,4.972765957446809
2022-11-13,GASOLINA,5.005531914893617
2022-11-20,GASOLINA,4.990851063829787
2022-11-27,GASOLINA,4.985106382978723
2022-12-04,GASOLINA,4.940425531914894
2022-12-11,GASOLINA,4.9234042553191495
2022-12-18,GASOLINA,4.875957446808511
2022-12-25,GASOLINA,5.525217391304348
2023-01-01,GASOLINA,5.597608695652174
2023-01-08,GASOLINA,5.5953333333333335
2023-01-15,GASOLINA,5.596739130434782
2023-01-22,GASOLINA,5.59936170212766
2023-01-29,GASOLINA,5.632978723404255
2023-02-05,GASOLINA,5.746382978723404
2023-02-12,GASOLINA,5.754680851063831
2023-02-19,GASOLINA,5.773913043478261
2023-02-26,GASOLINA,5.7455319148936175
2023-03-05,GASOLINA,5.752340425531915
2023-03-12,GASOLINA,5.685744680851064
2023-03-19,GASOLINA,5.689574468085107
2023-03-26,GASOLINA,5.886170212765957
2023-04-02,GASOLINA,5.841276595744682
2023-04-09,GASOLINA,5.645106382978724
2023-04-16,GASOLINA,5.796739130434782
2023-04-23,GASOLINA,5.950851063829787
2023-04-30,GASOLINA,5.967021276595744
2023-05-07,GASOLINA,5.834893617021277
2023-05-14,GASOLINA,5.915319148936169
2023-05-21,GASOLINA,5.618297872340426
2023-05-28,GASOLINA,5.355106382978724
2023-06-04,GASOLINA,5.339787234042553
2023-06-11,GASOLINA,5.267872340425532
2023-06-18,GASOLINA,5.190425531914894
2023-06-25,GASOLINA,5.352978723404255
2023-07-02,GASOLINA,5.98288888888889
2023-07-09,GASOLINA,5.9825531914893615
2023-07-16,GASOLINA,5.978478260869565
2023-07-23,GASOLINA,5.972727272727273
2023-07-30,GASOLINA,5.975
2023-08-06,GASOLINA,5.980714285714286
2023-08-13,GASOLINA,6.151304347826087
2023-08-20,GASOLINA,6.3486666666666665
2023-08-27,GASOLINA,6.315434782608696
2023-09-03,GASOLINA,6.3338636363636365
2023-09-10,GASOLINA,6.232608695652174
2023-09-17,GASOLINA,5.928333333333334
2023-09-24,GASOLINA,5.747173913043478
2023-10-01,GASOLINA,5.65093023255814
2023-10-08,GASOLINA,5.714468085106383
2023-10-15,GASOLINA,5.857073170731708
2023-10-22,GASOLINA,5.466444444444444
2023-10-29,GASOLINA,5.356808510638298
2023-11-05,GASOLINA,5.285111111111111
2023-11-12,GASOLINA,5.227021276595745
2023-11-19,GASOLINA,5.16
2023-11-26,GASOLINA,5.986595744680852
2023-12-03,GASOLINA,5.983617021276596
2023-12-10,GASOLINA,5.982500000000001
2023-12-17,GASOLINA,5.977111111111112
2023-12-24,GASOLINA,5.968478260869565
2023-12-31,GASOLINA,5.971489361702128
2024-01-07,GASOLINA,5.97659090909091
2024-01-14,GASOLINA,5.969555555555555
2024-01-21,GASOLINA,5.99
2024-01-28,GASOLINA,5.95695652173913
2024-02-04,GASOLINA,5.966382978723405
2024-02-11,GASOLINA,6.163829787234042
2024-02-18,GASOLINA,6.149574468085107
2024-02-25,GASOLINA,6.119782608695652
2024-03-03,GASOLINA,6.045434782608696
2024-03-10,GASOLINA,5.910638297872341
2024-03-17,GASOLINA,5.867083333333333
2024-03-24,GASOLINA,5.804
2024-03-31,GASOLINA,5.707555555555555
2024-04-07,GASOLINA,5.649347826086957
2024-04-14,GASOLINA,5.595777777777778
2024-04-21,GASOLINA,5.61090909090909
2024-04-28,GASOLINA,5.563260869565218
2024-05-05,GASOLINA,5.820434782608696
2024-05-12,GASOLINA,5.908478260869566
2024-05-19,GASOLINA,5.85695652173913
2024-05-26,GASOLINA,5.796808510638297
2024-06-02,GASOLINA,5.709787234042554
2024-06-09,GASOLINA,5.700638297872341
2024-06-16,GASOLINA,5.706444444444445
2024-06-23,GASOLINA,5.69936170212766
2024-06-30,GASOLINA,5.676521739130435
2024-07-07,GASOLINA,5.868666666666668
2024-07-14,GASOLINA,6.582222222222222
2024-07-21,GASOLINA,6.575
2024-07-28,GASOLINA,6.364680851063829
2024-08-04,GASOLINA,6.232826086956521
2024-08-11,GASOLINA,6.188510638297872
2024-08-18,GASOLINA,6.135333333333334
2024-08-25,GASOLINA,6.059347826086957
2024-09-01,GASOLINA,6.057021276595745
2024-09-08,GASOLINA,5.982978723404255
2024-09-15,GASOLINA,5.933829787234043
2024-09-22,GASOLINA,5.870217391304347
2024-09-29,GASOLINA,5.811521739130434
2024-10-06,GASOLINA,5.8084444444444445
2024-10-13,GASOLINA,5.827872340425532
2024-10-20,GASOLINA,6.002608695652174
2024-10-27,GASOLINA,6.0015217391304345
2024-11-03,GASOLINA,5.992
2024-11-10,GASOLINA,6.015531914893617
2024-11-17,GASOLINA,5.98391304347826
2024-11-24,GASOLINA,5.926304347826087
2024-12-01,GASOLINA,6.392173913043479
2024-12-08,GASOLINA,6.407333333333333
2024-12-15,GASOLINA,6.413404255319149
2024-12-22,GASOLINA,6.397234042553192
